"","Sequence","Cluster"
"ASV_213","ASV_213",21
"ASV_214","ASV_214",2
"ASV_215","ASV_215",6
"ASV_216","ASV_216",17
"ASV_217","ASV_217",38
"ASV_218","ASV_218",19
"ASV_219","ASV_219",21
"ASV_220","ASV_220",43
"ASV_221","ASV_221",26
"ASV_222","ASV_222",47
"ASV_223","ASV_223",48
"ASV_224","ASV_224",12
"ASV_225","ASV_225",49
"ASV_226","ASV_226",32
"ASV_227","ASV_227",2
"ASV_228","ASV_228",26
"ASV_229","ASV_229",26
"ASV_230","ASV_230",32
"ASV_231","ASV_231",21
"ASV_232","ASV_232",19
"ASV_233","ASV_233",19
"ASV_234","ASV_234",50
"ASV_235","ASV_235",51
"ASV_236","ASV_236",30
"ASV_237","ASV_237",2
"ASV_238","ASV_238",2
"ASV_239","ASV_239",52
"ASV_240","ASV_240",38
"ASV_241","ASV_241",38
"ASV_242","ASV_242",6
"ASV_243","ASV_243",43
"ASV_244","ASV_244",21
"ASV_245","ASV_245",21
"ASV_246","ASV_246",53
"ASV_247","ASV_247",37
"ASV_248","ASV_248",2
"ASV_249","ASV_249",38
"ASV_250","ASV_250",5
"ASV_251","ASV_251",2
"ASV_252","ASV_252",19
"ASV_253","ASV_253",21
"ASV_254","ASV_254",6
"ASV_255","ASV_255",38
"ASV_256","ASV_256",14
"ASV_257","ASV_257",38
"ASV_258","ASV_258",21
"ASV_259","ASV_259",21
"ASV_260","ASV_260",32
"ASV_261","ASV_261",19
"ASV_262","ASV_262",54
"ASV_263","ASV_263",16
"ASV_264","ASV_264",30
"ASV_265","ASV_265",55
"ASV_266","ASV_266",38
"ASV_267","ASV_267",19
"ASV_268","ASV_268",56
"ASV_269","ASV_269",19
"ASV_270","ASV_270",6
"ASV_271","ASV_271",57
"ASV_272","ASV_272",58
"ASV_273","ASV_273",1
"ASV_274","ASV_274",59
"ASV_275","ASV_275",51
"ASV_276","ASV_276",54
"ASV_277","ASV_277",26
"ASV_278","ASV_278",2
"ASV_279","ASV_279",38
"ASV_280","ASV_280",60
"ASV_281","ASV_281",43
"ASV_282","ASV_282",26
"ASV_283","ASV_283",19
"ASV_284","ASV_284",1
"ASV_285","ASV_285",58
"ASV_286","ASV_286",2
"ASV_287","ASV_287",26
"ASV_288","ASV_288",43
"ASV_289","ASV_289",61
"ASV_290","ASV_290",43
"ASV_291","ASV_291",19
"ASV_292","ASV_292",62
"ASV_293","ASV_293",32
"ASV_294","ASV_294",38
"ASV_295","ASV_295",19
"ASV_296","ASV_296",6
"ASV_297","ASV_297",6
"ASV_298","ASV_298",44
"ASV_299","ASV_299",21
"ASV_300","ASV_300",21
"ASV_301","ASV_301",58
"ASV_302","ASV_302",58
"ASV_303","ASV_303",3
"ASV_304","ASV_304",1
"ASV_305","ASV_305",32
"ASV_306","ASV_306",63
"ASV_307","ASV_307",5
"ASV_308","ASV_308",43
"ASV_309","ASV_309",26
"ASV_310","ASV_310",44
"ASV_311","ASV_311",38
"ASV_312","ASV_312",19
"ASV_313","ASV_313",34
"ASV_314","ASV_314",26
"ASV_315","ASV_315",2
"ASV_316","ASV_316",6
"ASV_317","ASV_317",21
"ASV_318","ASV_318",8
"ASV_319","ASV_319",62
"ASV_320","ASV_320",32
"ASV_321","ASV_321",43
"ASV_322","ASV_322",21
"ASV_323","ASV_323",62
"ASV_324","ASV_324",38
"ASV_325","ASV_325",21
"ASV_326","ASV_326",6
"ASV_327","ASV_327",5
"ASV_328","ASV_328",64
"ASV_329","ASV_329",51
"ASV_330","ASV_330",65
"ASV_331","ASV_331",43
"ASV_332","ASV_332",2
"ASV_333","ASV_333",32
"ASV_334","ASV_334",2
"ASV_335","ASV_335",2
"ASV_336","ASV_336",32
"ASV_337","ASV_337",2
"ASV_338","ASV_338",32
"ASV_339","ASV_339",26
"ASV_340","ASV_340",39
"ASV_341","ASV_341",19
"ASV_342","ASV_342",2
"ASV_343","ASV_343",6
"ASV_344","ASV_344",26
"ASV_345","ASV_345",6
"ASV_346","ASV_346",52
"ASV_347","ASV_347",21
"ASV_348","ASV_348",66
"ASV_349","ASV_349",58
"ASV_350","ASV_350",64
"ASV_351","ASV_351",5
"ASV_352","ASV_352",58
"ASV_353","ASV_353",57
"ASV_354","ASV_354",57
"ASV_355","ASV_355",57
"ASV_356","ASV_356",54
"ASV_357","ASV_357",58
"ASV_358","ASV_358",51
"ASV_359","ASV_359",67
"ASV_360","ASV_360",47
"ASV_361","ASV_361",22
"ASV_362","ASV_362",63
"ASV_363","ASV_363",2
"ASV_364","ASV_364",2
"ASV_365","ASV_365",21
"ASV_366","ASV_366",21
"ASV_367","ASV_367",52
"ASV_368","ASV_368",19
"ASV_369","ASV_369",43
"ASV_370","ASV_370",6
"ASV_371","ASV_371",44
"ASV_372","ASV_372",2
"ASV_373","ASV_373",6
"ASV_374","ASV_374",62
"ASV_375","ASV_375",19
"ASV_376","ASV_376",44
"ASV_377","ASV_377",6
"ASV_378","ASV_378",58
"ASV_379","ASV_379",58
"ASV_380","ASV_380",64
"ASV_381","ASV_381",58
"ASV_382","ASV_382",68
"ASV_383","ASV_383",2
"ASV_384","ASV_384",69
"ASV_385","ASV_385",58
"ASV_386","ASV_386",36
"ASV_387","ASV_387",6
"ASV_388","ASV_388",38
"ASV_389","ASV_389",26
"ASV_390","ASV_390",62
"ASV_391","ASV_391",19
"ASV_392","ASV_392",19
"ASV_393","ASV_393",21
"ASV_394","ASV_394",38
"ASV_395","ASV_395",44
"ASV_396","ASV_396",38
"ASV_397","ASV_397",58
"ASV_398","ASV_398",57
"ASV_399","ASV_399",1
"ASV_400","ASV_400",58
"ASV_401","ASV_401",1
"ASV_402","ASV_402",5
"ASV_403","ASV_403",25
"ASV_404","ASV_404",25
"ASV_405","ASV_405",70
"ASV_406","ASV_406",58
"ASV_407","ASV_407",28
"ASV_408","ASV_408",63
"ASV_409","ASV_409",39
"ASV_410","ASV_410",51
"ASV_411","ASV_411",32
"ASV_412","ASV_412",44
"ASV_413","ASV_413",43
"ASV_414","ASV_414",6
"ASV_415","ASV_415",44
"ASV_416","ASV_416",14
"ASV_417","ASV_417",26
"ASV_418","ASV_418",25
"ASV_419","ASV_419",5
"ASV_420","ASV_420",5
"ASV_421","ASV_421",63
"ASV_422","ASV_422",71
"ASV_423","ASV_423",70
"ASV_424","ASV_424",68
"ASV_425","ASV_425",72
"ASV_426","ASV_426",21
"ASV_427","ASV_427",73
"ASV_428","ASV_428",62
"ASV_429","ASV_429",43
"ASV_430","ASV_430",62
"ASV_431","ASV_431",38
"ASV_432","ASV_432",44
"ASV_433","ASV_433",21
"ASV_434","ASV_434",38
"ASV_435","ASV_435",62
"ASV_436","ASV_436",2
"ASV_437","ASV_437",58
"ASV_438","ASV_438",58
"ASV_439","ASV_439",25
"ASV_440","ASV_440",74
"ASV_441","ASV_441",5
"ASV_442","ASV_442",74
"ASV_443","ASV_443",58
"ASV_444","ASV_444",58
"ASV_445","ASV_445",75
"ASV_446","ASV_446",76
"ASV_447","ASV_447",42
"ASV_448","ASV_448",63
"ASV_449","ASV_449",6
"ASV_450","ASV_450",6
"ASV_451","ASV_451",25
"ASV_452","ASV_452",63
"ASV_453","ASV_453",77
"ASV_454","ASV_454",78
"ASV_455","ASV_455",79
"ASV_456","ASV_456",80
"ASV_457","ASV_457",81
"ASV_458","ASV_458",63
"ASV_459","ASV_459",58
"ASV_460","ASV_460",62
"ASV_461","ASV_461",51
"ASV_462","ASV_462",62
"ASV_463","ASV_463",51
