"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"ME16S1",162,162,0,162,5.661217423492,4.84372603683678,0.989069211393585,91.4847076461769,37.8105659039944
"ME16S10",248,248,0,248,7.51530696044263,5.0131064427589,0.991459375613028,117.08745809327,47.8925271539559
"ME16S11",125,125,0,125,5.1799613898175,4.50155982804298,0.98663099188463,74.7998648344222,25.4935613088821
"ME16S12",209,209,0,209,6.77315274345149,4.93605855186624,0.990875600284754,109.596250844764,41.8250644182597
"ME16S2",173,173,0.0498552818961841,173.222379939957,6.08116098720986,4.82672318389001,0.98887495295783,89.8872603602904,39.0923250709896
"ME16S3",153,153,0,153,5.88562000776613,4.83889385341816,0.990438849203063,104.589920317999,36.4185786748598
